start	end	speaker	text
0	4000	Annie Lööf	Det är 16 000 äldre som har...
4000	7000	Annie Lööf	...bo på särskilda äldreboenden.
7000	11000	Annie Lööf	Och varannat besök på en vårdcentral görs hos en privat vårdcentral.
11000	15000	Annie Lööf	Jag tycker det är för mycket storstadsfokus i den här debatten från vänster kanten.
15000	20000	Annie Lööf	För tar vi oss ut på landsbygden så är det ju glesbygdsvårdcentralen som är hotad.
20000	22000	Annie Lööf	Det är byskolan på landsbygden.
22000	26000	Annie Lööf	Det är att en äldre inte ska få välja vilken hemtjänst som kommer hem till gården.
26000	29000	Annie Lööf	Det är viktigt att satsa på kvalitet.
29000	32000	Annie Lööf	Jag är stolt över svensk sjukvård, svensk omsorg och svensk skola.
32000	36000	Annie Lööf	Vi ska ha hög kvalitet, skärpta krav och se till att ha en skarp tillsyn.
36000	39000	Annie Lööf	De som inte sköter sig har inte det att göra.
39000	45000	Annie Lööf	Men vi ska slå vakt om valfriheten och se till att det finns en nära och trygg skolavård och omsorg i hela landet.
45000	48000	Expressen	Då är det dags att släppa in fartygskaptenen från rädderiet.
48000	50000	Expressen	Norsiddalen.
50000	53000	Expressen	Eller Norsiddalen, ja. Varsågod, svara på det där.
53000	59000	Nooshi Dadgostar	Nej, men Annie Lööf måste komma tillbaka till verkligheten och kliva in på akuten i de regioner som hon styr.
59000	63000	Nooshi Dadgostar	Hon styr ju för de flesta svenskar deras sjukvård.
63000	65000	Nooshi Dadgostar	Och det är så här den ser ut.
65000	70000	Nooshi Dadgostar	Det är ju hjältar som arbetar både i skolan och i sjukvården.
70000	75000	Nooshi Dadgostar	Men hela svenska folket märker väl nu att vi har en vårdflykt.
75000	78000	Nooshi Dadgostar	Personalen orkar inte jobba kvar.
78000	84000	Nooshi Dadgostar	Vi har över 15 000 företag i vård och omsorg.
84000	87000	Nooshi Dadgostar	De här företagen fungerar inte i organisationen.
87000	88000	Nooshi Dadgostar	Det blir rörigt.
88000	95000	Nooshi Dadgostar	En människa blir inte omhändertagen ordentligt i den svenska sjukvårdsorganisationen utan man blir bara hänvisad runt.
95000	97000	Nooshi Dadgostar	Man är aldrig rätt.
97000	99000	Nooshi Dadgostar	Och det är ju Annie Lööf som styr detta.
99000	103000	Nooshi Dadgostar	Det är därför vi har så långa vårdköer.
103000	105000	Nooshi Dadgostar	Det är därför detta inte fungerar.
105000	112000	Annie Lööf	Hur blir det kortare vårdköer om man slundar benen på alla de privata vårdcentraler som finns runt om i hela landet?
112000	119000	Annie Lööf	Hur minskar man bördan på sjuksköterska och undersköterskas axlar genom att de får mer att göra?
119000	122000	Annie Lööf	Vi behöver ju börja prata om innehållet i skolan, vården och omsorgen.
122000	124000	Annie Lööf	Inte vem som äger dem.
124000	129000	Annie Lööf	Vi måste säkerställa bra arbetsvillkor, fler kollegor och bra arbetsmiljö.
129000	132000	Annie Lööf	Så att fler vill stanna kvar och jobba inom vård och omsorg.
132000	137000	Expressen	Vi ska kunna låta debatten utspela sig hela kvällen men vi måste vandra högre ut.
137000	139000	Expressen	Ebba Börs, du har velat in länge. Varsågod.
139000	142000	Ebba Busch	Det här är Magdalena Andersson. Det är ditt regeringsunderlag.
142000	144000	Ebba Busch	Nour Shiddad går starkt på en planet i en verklighet.
144000	147000	Ebba Busch	Annie Lööf på en annan planet i en helt annan verklighet.
147000	149000	Ebba Busch	Det här är riskfyllt.
149000	156000	Ebba Busch	Att rösta på en statsministerkandidat som har ett regeringsunderlag som befinner sig på helt olika delar av yttre rymden.
156000	158000	Ebba Busch	Vårt alternativ är i grunden enat.
158000	163000	Ebba Busch	Även här i grundinräkningen, det vill säga, det är inte privata alternativ för det privata skull.
163000	167000	Ebba Busch	Det spelar ingen roll vad driften är så länge innehållet fungerar.
167000	171000	Ebba Busch	Titta på resultatet efter åtta år med SV-rodret.
171000	173000	Ebba Busch	Kvinnorna får betala priset.
173000	179000	Ebba Busch	De bränns ut i äldreomsorgen, de bränns ut i sjukvården, de bränns ut när förlossningsvården inte fungerar.
179000	184000	Ebba Busch	De lyckas inte tillräckligt bra i skolan heller.
184000	189000	Ebba Busch	Kvinnorna som drabbas extra hårt när otryggheten i skolan är så stor som den är.
189000	191000	Ebba Busch	Då funkar det inte.
191000	198000	Ebba Busch	En klok person har en gång sagt att definitionen av galenskap är att göra samma sak om och om igen och förvänta sig ett annat resultat.
198000	201000	Ebba Busch	Men det är just definitionen av socialdemokrati.
201000	206000	Ebba Busch	Vi behöver något nytt och ett nationellt ledarskap för välfärden framåt.
206000	211000	Expressen	Då släpper vi in yttre rymden. Magdalena Andersson, vill du replikera på det Babur säger?
211000	217000	Magdalena Andersson	Jag kan konstatera att det har varit väldigt käbbligt där på den sidan hur man ska finansiera alla reformer.
217000	220000	Magdalena Andersson	Där måste jag också höja varningens finger.
220000	228000	Magdalena Andersson	Vi har sett när vi har haft borgarregeringar hur man tre gånger av tre möjliga har lagt efter sig statsfinansier med väldigt stora hål.
228000	232000	Magdalena Andersson	Det man har lyssnat på den här veckan är att det finns en sån risk igen.
232000	242000	Magdalena Andersson	Det är inte bra nu.
